ProductionOrderID,MaterialNumber,MaterialName,ProductComplexity,OrderDate,PlannedQty,MachineClass,PlantID
PO100000,FG0028,ACDelco Bearing,LOW,2025-05-14,25,CNC,PLT2
PO100001,FG0001,Aftermarket Gearbox,MED,2025-03-15,115,CNC,PLT1
PO100002,FG0005,Remanufactured Gearbox,LOW,2025-06-15,192,ROBOT,PLT3
PO100003,FG0004,Valeo Drive Shaft,MED,2025-05-06,95,MILL,PLT3
PO100004,FG0027,TRW Gearbox,MED,2025-12-17,192,ROBOT,PLT2
PO100005,FG0018,Genuine Oil Pump,LOW,2025-07-17,196,PRESS,PLT2
PO100006,FG0021,Performance Differential,MED,2025-11-24,83,PRESS,PLT2
PO100007,FG0011,Valeo Radiator,LOW,2025-04-29,179,GRIND,PLT1
PO100008,FG0018,Genuine Oil Pump,LOW,2025-07-13,196,ROBOT,PLT1
PO100009,FG0017,Valeo Sway Bar,MED,2025-08-04,127,ROBOT,PLT1
PO100010,FG0007,Sport Shock Absorber,MED,2025-04-20,172,PRESS,PLT1
PO100011,FG0009,TRW Crankshaft,LOW,2025-04-28,43,CNC,PLT2
PO100012,FG0018,Genuine Oil Pump,LOW,2025-11-16,10,PRESS,PLT1
PO100013,FG0013,Bosch Shock Absorber,MED,2025-07-24,57,ROBOT,PLT2
PO100014,FG0009,TRW Crankshaft,LOW,2025-10-14,130,MILL,PLT3
PO100015,FG0024,Denso Turbocharger,HIGH,2025-06-23,190,GRIND,PLT2
PO100016,FG0006,Aftermarket Timing Belt,HIGH,2025-09-04,58,GRIND,PLT3
PO100017,FG0014,Valeo Airbag Module,HIGH,2025-11-26,60,ROBOT,PLT2
PO100018,FG0006,Aftermarket Timing Belt,HIGH,2025-03-09,42,MILL,PLT1
PO100019,FG0013,Bosch Shock Absorber,MED,2025-02-07,91,ROBOT,PLT1
PO100020,FG0023,ACDelco Oil Pump,HIGH,2025-12-15,158,MILL,PLT3
PO100021,FG0019,Performance Bearing,HIGH,2025-06-08,36,CNC,PLT3
PO100022,FG0015,Aftermarket Airbag Module,MED,2025-12-17,150,CNC,PLT1
PO100023,FG0021,Performance Differential,MED,2025-01-15,19,PRESS,PLT2
PO100024,FG0013,Bosch Shock Absorber,MED,2025-01-24,197,MILL,PLT1
PO100025,FG0011,Valeo Radiator,LOW,2025-07-08,160,PRESS,PLT1
PO100026,FG0004,Valeo Drive Shaft,MED,2025-01-19,171,CNC,PLT2
PO100027,FG0005,Remanufactured Gearbox,LOW,2025-05-21,157,CNC,PLT3
PO100028,FG0009,TRW Crankshaft,LOW,2025-09-12,95,PRESS,PLT3
PO100029,FG0014,Valeo Airbag Module,HIGH,2025-04-21,103,PRESS,PLT1
PO100030,FG0013,Bosch Shock Absorber,MED,2025-06-02,38,CNC,PLT1
PO100031,FG0016,OEM Caliper,LOW,2025-02-10,88,GRIND,PLT1
PO100032,FG0027,TRW Gearbox,MED,2025-01-01,31,MILL,PLT1
PO100033,FG0023,ACDelco Oil Pump,HIGH,2025-06-28,15,PRESS,PLT2
PO100034,FG0007,Sport Shock Absorber,MED,2025-06-07,114,ROBOT,PLT2
PO100035,FG0027,TRW Gearbox,MED,2025-11-04,110,PRESS,PLT1
PO100036,FG0022,Remanufactured Caliper,LOW,2025-04-28,123,PRESS,PLT3
PO100037,FG0017,Valeo Sway Bar,MED,2025-06-25,174,ROBOT,PLT2
PO100038,FG0023,ACDelco Oil Pump,HIGH,2025-03-25,151,PRESS,PLT1
PO100039,FG0029,ACDelco Catalytic Converter,LOW,2025-12-06,101,CNC,PLT2
PO100040,FG0007,Sport Shock Absorber,MED,2025-06-18,174,ROBOT,PLT1
PO100041,FG0013,Bosch Shock Absorber,MED,2025-02-24,124,CNC,PLT1
PO100042,FG0030,Magneti Marelli Sensor,MED,2025-02-20,13,GRIND,PLT1
PO100043,FG0004,Valeo Drive Shaft,MED,2025-01-04,187,CNC,PLT3
PO100044,FG0004,Valeo Drive Shaft,MED,2025-01-12,39,CNC,PLT3
PO100045,FG0022,Remanufactured Caliper,LOW,2025-08-15,100,PRESS,PLT1
